Accession;Organism_Name;SRA_Accession;Species;Genus;Family;Molecule_type;Length;Nuc_Completeness;Geo_Location;Host;Isolation_Source
NC_073855;ssRNA phage SRR6960803_4;;Kohmavirus luticola;Kohmavirus;Duinviridae;RNA;3749;complete;Japan;activated sludge metagenome;
NC_073856;ssRNA phage SRR6960509_4;;Samuneavirus asiocola;Samuneavirus;Duinviridae;RNA;3669;complete;USA;activated sludge metagenome;
NC_073857;ssRNA phage SRR5466725_8;;Tehuhdavirus pelovivens;Tehuhdavirus;Duinviridae;RNA;4458;complete;USA;activated sludge metagenome;
NC_073858;ssRNA phage SRR7976300_7;;Adahivirus asienecus;Adahivirus;Fiersviridae;ssRNA(+);3575;complete;USA;activated sludge metagenome;
NC_073859;ssRNA phage ESE006;SRR1611147;Aldhiuvirus defluviicola;Aldhiuvirus;Fiersviridae;ssRNA(+);3469;complete;USA;activated sludge metagenome;
NC_073860;ssRNA phage Esthiorhiza.4_3;;Amubhivirus agrivicinum;Amubhivirus;Fiersviridae;ssRNA(+);3934;complete;USA;;
NC_073861;ssRNA phage Gerhypos.4_17;;Andhasavirus agrivivens;Andhasavirus;Fiersviridae;ssRNA(+);4021;complete;USA;;
NC_073862;ssRNA phage SRR7976325_13;;Andhasavirus borborocola;Andhasavirus;Fiersviridae;ssRNA(+);3662;complete;Japan;activated sludge metagenome;
NC_073863;ssRNA phage Esthiorhiza.2_44;;Andhaxevirus choradaptatum;Andhaxevirus;Fiersviridae;ssRNA(+);4311;complete;USA;;
NC_073864;ssRNA phage Zoerhiza.1_26;;Andhaxevirus chorenecus;Andhaxevirus;Fiersviridae;ssRNA(+);4349;complete;USA;;
NC_073865;ssRNA phage Gerhypos.1_32;;Andhaxevirus chorocola;Andhaxevirus;Fiersviridae;ssRNA(+);4209;complete;USA;;
NC_073866;ssRNA phage Gerhypos.3_3;;Anedhivirus chorovicinum;Anedhivirus;Fiersviridae;ssRNA(+);3641;complete;USA;;
NC_073867;ssRNA phage Esthiorhiza.1_9;;Apukhovirus arvihabitans;Apukhovirus;Fiersviridae;ssRNA(+);3942;complete;USA;;
NC_073868;ssRNA phage SRR5467091_8;;Ashucavirus caenicola;Ashucavirus;Fiersviridae;ssRNA(+);3538;complete;USA;activated sludge metagenome;
NC_073869;ssRNA phage SRR6960540_1;;Ashucavirus caenihabitans;Ashucavirus;Fiersviridae;ssRNA(+);3515;complete;USA;activated sludge metagenome;
NC_073870;ssRNA phage SRR7976357_8;;Ashucavirus caenivicinum;Ashucavirus;Fiersviridae;ssRNA(+);3661;complete;Japan;activated sludge metagenome;
NC_073871;ssRNA phage SRR5466725_10;;Bahscuvirus limivicinum;Bahscuvirus;Fiersviridae;ssRNA(+);3892;complete;USA;activated sludge metagenome;
NC_073872;ssRNA phage Esthiorhiza.4_18;;Bathrivirus terrenecus;Bathrivirus;Fiersviridae;ssRNA(+);3672;complete;USA;;
NC_073873;ssRNA phage SRR6960551_10;;Behevivirus limivivens;Behevivirus;Fiersviridae;ssRNA(+);3526;complete;USA;activated sludge metagenome;
NC_073874;ssRNA phage SRR7976301_6;;Behlfluvirus lutadaptatum;Behlfluvirus;Fiersviridae;ssRNA(+);4201;complete;USA;activated sludge metagenome;
NC_073875;ssRNA phage SRR7976300_3;;Bertavirus lutihabitans;Bertavirus;Fiersviridae;ssRNA(+);3579;complete;USA;activated sludge metagenome;
NC_073876;ssRNA phage SRR6050738_2;;Bihdovirus pelohabitans;Bihdovirus;Fiersviridae;ssRNA(+);4008;complete;Austria;activated sludge metagenome;
NC_073877;ssRNA phage SRR5995670_2;;Bisdanovirus hydrocola;Bisdanovirus;Fiersviridae;ssRNA(+);3326;complete;Singapore;;
NC_073878;ssRNA phage SRR7976310_8;;Blafavirus pelovivens;Blafavirus;Fiersviridae;ssRNA(+);4155;complete;USA;activated sludge metagenome;
NC_073879;ssRNA phage SRR7976310_11;;Bohnovirus asienecus;Bohnovirus;Fiersviridae;ssRNA(+);3827;complete;USA;activated sludge metagenome;
NC_073880;ssRNA phage SRR6960551_4;;Bohwovirus asiocola;Bohwovirus;Fiersviridae;ssRNA(+);4295;complete;USA;activated sludge metagenome;
NC_073881;ssRNA phage SRR6960507_5;SRR6960507;Boloprevirus asiohabitans;Boloprevirus;Fiersviridae;ssRNA(+);3547;complete;USA;activated sludge metagenome;
NC_073882;ssRNA phage SRR6960551_8;;Boloprevirus asiovicinum;Boloprevirus;Fiersviridae;ssRNA(+);3540;complete;USA;activated sludge metagenome;
NC_073883;ssRNA phage SRR6960797_2;;Boloprevirus asiovivens;Boloprevirus;Fiersviridae;ssRNA(+);3667;complete;USA;activated sludge metagenome;
NC_073884;ssRNA phage SRR6960799_15;;Boloprevirus borboradaptatum;Boloprevirus;Fiersviridae;ssRNA(+);3595;complete;Japan;activated sludge metagenome;
NC_073885;ssRNA phage SRR5208572_1;;Boschuvirus borborocola;Boschuvirus;Fiersviridae;ssRNA(+);3569;complete;Austria;activated sludge metagenome;
NC_073886;ssRNA phage SRR6254351_1;;Breudwovirus borborohabitans;Breudwovirus;Fiersviridae;ssRNA(+);4588;complete;USA;activated sludge metagenome;
NC_073887;ssRNA phage SRR6049586_1;;Brudgevirus borborovicinum;Brudgevirus;Fiersviridae;ssRNA(+);3568;complete;USA;activated sludge metagenome;
NC_073888;ssRNA phage SRR6960799_21;;Brudgevirus borborovivens;Brudgevirus;Fiersviridae;ssRNA(+);3716;complete;Japan;activated sludge metagenome;
NC_073889;ssRNA phage SRR6960799_22;;Brudgevirus caenadaptatum;Brudgevirus;Fiersviridae;ssRNA(+);3739;complete;Japan;activated sludge metagenome;
NC_073890;ssRNA phage SRR6960799_23;;Brudgevirus caenenecus;Brudgevirus;Fiersviridae;ssRNA(+);3554;complete;Japan;activated sludge metagenome;
NC_073891;ssRNA phage SRR7976299_11;;Brudgevirus caenicola;Brudgevirus;Fiersviridae;ssRNA(+);3631;complete;USA;activated sludge metagenome;
NC_073892;ssRNA phage ESE029;SRR1027978;Brudgevirus defluviicola;Brudgevirus;Fiersviridae;ssRNA(+);3655;complete;USA;activated sludge metagenome;
NC_073893;ssRNA phage Zoerhiza.2_7;;Brudgevirus humadaptatum;Brudgevirus;Fiersviridae;ssRNA(+);3931;complete;USA;;
NC_073894;ssRNA phage Esthiorhiza.2_36;;Brudgevirus terrivivens;Brudgevirus;Fiersviridae;ssRNA(+);3384;complete;USA;;
NC_073895;ssRNA phage SRR6960551_9;;Buhdavirus caenihabitans;Buhdavirus;Fiersviridae;ssRNA(+);3536;complete;USA;activated sludge metagenome;
NC_073896;ssRNA phage Gephyllon.2_12;;Cahdavirus humicola;Cahdavirus;Fiersviridae;ssRNA(+);3901;complete;USA;;
NC_073897;ssRNA phage SRR5466728_3;;Cahrpivirus caenivivens;Cahrpivirus;Fiersviridae;ssRNA(+);3678;complete;USA;activated sludge metagenome;
NC_073898;ssRNA phage Gerhypos.4_61;;Cahrpivirus humenecus;Cahrpivirus;Fiersviridae;ssRNA(+);3556;complete;USA;;
NC_073899;ssRNA phage Gerhypos.1_49;;Caloevirus agradaptatum;Caloevirus;Fiersviridae;ssRNA(+);3621;complete;USA;;
NC_073900;ssRNA phage Esthiorhiza.4_9;;Caloevirus humivivens;Caloevirus;Fiersviridae;ssRNA(+);3637;complete;USA;;
NC_073901;ssRNA phage SRR5466725_13;;Cauhldivirus limadaptatum;Cauhldivirus;Fiersviridae;ssRNA(+);4095;complete;USA;activated sludge metagenome;
NC_073902;ssRNA phage SRR7976299_8;;Cauhldivirus limenecus;Cauhldivirus;Fiersviridae;ssRNA(+);4380;complete;USA;activated sludge metagenome;
NC_073903;ssRNA phage SRR7976299_9;;Cauhldivirus limicola;Cauhldivirus;Fiersviridae;ssRNA(+);4137;complete;USA;activated sludge metagenome;
NC_073904;ssRNA phage SRR6960507_7;SRR6960507;Cehakivirus limihabitans;Cehakivirus;Fiersviridae;ssRNA(+);3760;complete;USA;activated sludge metagenome;
NC_073905;ssRNA phage AIN002;SRR1745803;Chaedoavirus insecticola;Chaedoavirus;Fiersviridae;ssRNA(+);3846;complete;USA;activated sludge metagenome;
NC_073906;ssRNA phage Gerhypos.1_9;;Chahsmivirus agrivicinum;Chahsmivirus;Fiersviridae;ssRNA(+);4418;complete;USA;;
NC_073907;ssRNA phage Gerhypos.3_17;;Chahsmivirus agrivivens;Chahsmivirus;Fiersviridae;ssRNA(+);4378;complete;USA;;
NC_073908;ssRNA phage Gerhypos.3_9;;Chahsmivirus choradaptatum;Chahsmivirus;Fiersviridae;ssRNA(+);3976;complete;USA;;
NC_073909;ssRNA phage SRR5208570_1;;Chahsmivirus limivicinum;Chahsmivirus;Fiersviridae;ssRNA(+);4306;complete;Austria;activated sludge metagenome;
NC_073910;ssRNA phage SRR5466727_3;;Chahsmivirus limivivens;Chahsmivirus;Fiersviridae;ssRNA(+);4343;complete;USA;activated sludge metagenome;
NC_073911;ssRNA phage SRR7976301_7;;Chahsmivirus lutadaptatum;Chahsmivirus;Fiersviridae;ssRNA(+);4228;complete;USA;activated sludge metagenome;
NC_073912;ssRNA phage SRR6960799_14;;Chihyovirus lutenecus;Chihyovirus;Fiersviridae;ssRNA(+);3819;complete;Japan;activated sludge metagenome;
NC_073913;ssRNA phage SRR7976300_6;;Chobevirus lutivicinum;Chobevirus;Fiersviridae;ssRNA(+);3375;complete;USA;activated sludge metagenome;
NC_073914;ssRNA phage SRR7687334_1;;Choctavirus fulminicola;Choctavirus;Fiersviridae;ssRNA(+);3524;complete;USA;;
NC_073915;ssRNA phage SRR5466729_1;;Cintrevirus pelocola;Cintrevirus;Fiersviridae;ssRNA(+);3791;complete;USA;activated sludge metagenome;
NC_073916;ssRNA phage Gephyllon.1_10;;Condavirus arvenecus;Condavirus;Fiersviridae;ssRNA(+);3469;complete;USA;;
NC_073917;ssRNA phage Esthiorhiza.2_49;;Condavirus arvicola;Condavirus;Fiersviridae;ssRNA(+);3335;complete;USA;;
NC_073918;ssRNA phage Gephyllon.4_13;;Condavirus arvihabitans;Condavirus;Fiersviridae;ssRNA(+);3666;complete;USA;;
NC_073919;ssRNA phage Gerhypos.1_28;;Condavirus arvivicinum;Condavirus;Fiersviridae;ssRNA(+);3636;complete;USA;;
NC_073920;ssRNA phage Gerhypos.1_29;;Condavirus arvivivens;Condavirus;Fiersviridae;ssRNA(+);3562;complete;USA;;
NC_073921;ssRNA phage Gerhypos.2_12;;Condavirus edaphadaptatum;Condavirus;Fiersviridae;ssRNA(+);3696;complete;USA;;
NC_073922;ssRNA phage Gerhypos.4_67;;Condavirus edaphenecus;Condavirus;Fiersviridae;ssRNA(+);3541;complete;USA;;
NC_073923;ssRNA phage Gerhypos.4_66;;Condavirus edaphocola;Condavirus;Fiersviridae;ssRNA(+);3608;complete;USA;;
NC_073924;ssRNA phage Zoerhiza.1_38;;Condavirus edaphohabitans;Condavirus;Fiersviridae;ssRNA(+);3558;complete;USA;;
NC_073925;ssRNA phage Zoerhiza.3_4;;Condavirus edaphovicinum;Condavirus;Fiersviridae;ssRNA(+);3576;complete;USA;;
NC_073926;ssRNA phage EMS014;SRR064197;Creshivirus fonticola;Creshivirus;Fiersviridae;ssRNA(+);3843;complete;USA;activated sludge metagenome;
NC_073927;ssRNA phage SRR6960799_9;;Creshivirus pelohabitans;Creshivirus;Fiersviridae;ssRNA(+);3570;complete;Japan;activated sludge metagenome;
NC_073928;ssRNA phage AIN003;SRR1745803;Dahmuvirus insecticola;Dahmuvirus;Fiersviridae;ssRNA(+);3929;complete;USA;activated sludge metagenome;
NC_073929;ssRNA phage SRR7473382_3;;Darnbovirus asiadaptatum;Darnbovirus;Fiersviridae;ssRNA(+);3810;complete;Austria;activated sludge metagenome;
NC_073930;ssRNA phage SRR5466337_2;;Decadevirus asienecus;Decadevirus;Fiersviridae;ssRNA(+);4757;complete;USA;activated sludge metagenome;
NC_073931;ssRNA phage SRR5466727_2;;Decadevirus asiocola;Decadevirus;Fiersviridae;ssRNA(+);4082;complete;USA;activated sludge metagenome;
NC_073932;ssRNA phage SRR5466725_14;;Dehcevirus asiohabitans;Dehcevirus;Fiersviridae;ssRNA(+);4235;complete;USA;activated sludge metagenome;
NC_073933;ssRNA phage SRR7976325_12;;Dehcevirus asiovicinum;Dehcevirus;Fiersviridae;ssRNA(+);3927;complete;Japan;activated sludge metagenome;
NC_073934;ssRNA phage Gerhypos.4_13;;Dehcevirus soladaptatum;Dehcevirus;Fiersviridae;ssRNA(+);4175;complete;USA;;
NC_073935;ssRNA phage SRR6960551_3;;Denfovirus borborenecus;Denfovirus;Fiersviridae;ssRNA(+);3851;complete;USA;activated sludge metagenome;
NC_073936;ssRNA phage Gerhypos.4_15;;Depandovirus solicola;Depandovirus;Fiersviridae;ssRNA(+);4112;complete;USA;;
NC_073937;ssRNA phage Gephyllon.3_5;;Dihsdivirus solenecus;Dihsdivirus;Fiersviridae;ssRNA(+);3918;complete;USA;;
NC_073938;ssRNA phage SRR5208570_2;;Dohlivirus borborovivens;Dohlivirus;Fiersviridae;ssRNA(+);4004;complete;Austria;activated sludge metagenome;
NC_073939;ssRNA phage Zoerhiza.1_16;;Dosmizivirus solihabitans;Dosmizivirus;Fiersviridae;ssRNA(+);3758;complete;USA;;
NC_073940;ssRNA phage ESE007;SRR1427729;Duhcivirus defluviicola;Duhcivirus;Fiersviridae;ssRNA(+);3294;complete;USA;activated sludge metagenome;
NC_073941;ssRNA phage AVE017;DRR013891;Emesvirus piscicola;Emesvirus;Fiersviridae;ssRNA(+);3483;complete;USA;activated sludge metagenome;
NC_073942;ssRNA phage SRR7976325_17;;Fagihyuvirus caenivicinum;Fagihyuvirus;Fiersviridae;ssRNA(+);3430;complete;Japan;activated sludge metagenome;
NC_073943;ssRNA phage AVE019;SRR594642;Febihevirus ruminicola;Febihevirus;Fiersviridae;ssRNA(+);3737;complete;USA;activated sludge metagenome;
NC_073944;ssRNA phage SRR6960507_3;;Fiyodovirus limihabitans;Fiyodovirus;Fiersviridae;ssRNA(+);3431;complete;USA;activated sludge metagenome;
NC_073945;ssRNA phage SRR5466725_17;;Gahlinevirus luticola;Gahlinevirus;Fiersviridae;ssRNA(+);3510;complete;USA;activated sludge metagenome;
NC_073946;ssRNA phage SRR6960549_3;;Gahlovirus lutihabitans;Gahlovirus;Fiersviridae;ssRNA(+);3540;complete;USA;activated sludge metagenome;
NC_073947;ssRNA phage SRR6960797_3;;Garovuvirus peladaptatum;Garovuvirus;Fiersviridae;ssRNA(+);3637;complete;USA;activated sludge metagenome;
NC_073948;ssRNA phage SRR5466365_2;;Gehnevirus pelenecus;Gehnevirus;Fiersviridae;ssRNA(+);3627;complete;USA;activated sludge metagenome;
NC_073949;ssRNA phage SRR6255746_4;;Glincaevirus pelovicinum;Glincaevirus;Fiersviridae;ssRNA(+);3701;complete;USA;activated sludge metagenome;
NC_073950;ssRNA phage Gephyllon.1_11;;Glyciruvirus geovicinum;Glyciruvirus;Fiersviridae;ssRNA(+);3312;complete;USA;;
NC_073951;ssRNA phage Zoerhiza.1_1;;Glyciruvirus geovivens;Glyciruvirus;Fiersviridae;ssRNA(+);3508;complete;USA;;
NC_073952;ssRNA phage SRR5208575_1;;Gmuhndevirus pelovivens;Gmuhndevirus;Fiersviridae;ssRNA(+);3605;complete;Austria;activated sludge metagenome;
NC_073953;ssRNA phage Gephyllon.1_14;;Gorodievirus telluradaptatum;Gorodievirus;Fiersviridae;ssRNA(+);4141;complete;USA;;
NC_073954;ssRNA phage SRR7976323_4;;Gunawavirus borboradaptatum;Gunawavirus;Fiersviridae;ssRNA(+);3386;complete;Japan;activated sludge metagenome;
NC_073955;ssRNA phage SRR6960803_8;;Hahdsevirus borborenecus;Hahdsevirus;Fiersviridae;ssRNA(+);3428;complete;Japan;activated sludge metagenome;
NC_073956;ssRNA phage Gerhypos.1_35;;Halcalevirus arvivivens;Halcalevirus;Fiersviridae;ssRNA(+);3970;complete;USA;;
NC_073957;ssRNA phage SRR6960799_17;;Hihdivirus caenenecus;Hihdivirus;Fiersviridae;ssRNA(+);4099;complete;Japan;activated sludge metagenome;
NC_073958;ssRNA phage SRR6960799_18;;Hihdivirus caenicola;Hihdivirus;Fiersviridae;ssRNA(+);4211;complete;Japan;activated sludge metagenome;
NC_073959;ssRNA phage SRR7976325_20;;Hukohnovirus limicola;Hukohnovirus;Fiersviridae;ssRNA(+);3646;complete;Japan;activated sludge metagenome;
NC_073960;ssRNA phage SRR7976357_9;;Icumivirus limivivens;Icumivirus;Fiersviridae;ssRNA(+);3641;complete;Japan;activated sludge metagenome;
NC_073961;ssRNA phage SRR7976300_8;;Ideskevirus lutadaptatum;Ideskevirus;Fiersviridae;ssRNA(+);3456;complete;USA;activated sludge metagenome;
NC_073962;ssRNA phage SRR6960803_11;;Imeberivirus lutenecus;Imeberivirus;Fiersviridae;ssRNA(+);3507;complete;Japan;activated sludge metagenome;
NC_073963;ssRNA phage SRR7976325_19;;Imeberivirus luticola;Imeberivirus;Fiersviridae;ssRNA(+);3512;complete;Japan;activated sludge metagenome;
NC_073964;ssRNA phage SRR7976327_1;;Ineyimevirus lutihabitans;Ineyimevirus;Fiersviridae;ssRNA(+);3679;complete;Japan;activated sludge metagenome;
NC_073965;ssRNA phage SRR7976357_5;;Ineyimevirus lutivicinum;Ineyimevirus;Fiersviridae;ssRNA(+);3727;complete;Japan;activated sludge metagenome;
NC_073966;ssRNA phage SRR6253161_1;;Iruqauvirus pelocola;Iruqauvirus;Fiersviridae;ssRNA(+);3903;complete;USA;activated sludge metagenome;
NC_073967;ssRNA phage SRR7976325_7;;Ishugivirus pelohabitans;Ishugivirus;Fiersviridae;ssRNA(+);3888;complete;Japan;activated sludge metagenome;
NC_073968;ssRNA phage ESE058;SRR1611150;Jiesduavirus defluviicola;Jiesduavirus;Fiersviridae;ssRNA(+);3620;complete;USA;activated sludge metagenome;
NC_073969;ssRNA phage SRR6960551_6;;Johnovirus asienecus;Johnovirus;Fiersviridae;ssRNA(+);3231;complete;USA;activated sludge metagenome;
NC_073970;ssRNA phage SRR5466725_11;;Jupbevirus asiocola;Jupbevirus;Fiersviridae;ssRNA(+);4145;complete;USA;activated sludge metagenome;
NC_073971;ssRNA phage SRR6960799_10;;Jupbevirus asiohabitans;Jupbevirus;Fiersviridae;ssRNA(+);4013;complete;Japan;activated sludge metagenome;
NC_073972;ssRNA phage SRR6050738_3;;Kahfsdivirus asiovicinum;Kahfsdivirus;Fiersviridae;ssRNA(+);4027;complete;Austria;activated sludge metagenome;
NC_073973;ssRNA phage SRR6960799_16;;Keghovirus borborovivens;Keghovirus;Fiersviridae;ssRNA(+);4194;complete;Japan;activated sludge metagenome;
NC_073974;ssRNA phage SRR7976325_15;;Keghovirus caenadaptatum;Keghovirus;Fiersviridae;ssRNA(+);3966;complete;Japan;activated sludge metagenome;
NC_073975;ssRNA phage SRR7473382_2;;Kehmevirus caenenecus;Kehmevirus;Fiersviridae;ssRNA(+);3651;complete;Austria;activated sludge metagenome;
NC_073976;ssRNA phage SRR6960507_9;SRR6960507;Kemicevirus caenicola;Kemicevirus;Fiersviridae;ssRNA(+);3695;complete;USA;activated sludge metagenome;
NC_073977;ssRNA phage SRR6960799_27;;Kemicevirus caenihabitans;Kemicevirus;Fiersviridae;ssRNA(+);3698;complete;Japan;activated sludge metagenome;
NC_073978;ssRNA phage SRR6960803_10;;Kenamavirus limadaptatum;Kenamavirus;Fiersviridae;ssRNA(+);3421;complete;Japan;activated sludge metagenome;
NC_073979;ssRNA phage SRR6960799_12;;Kihryuvirus limihabitans;Kihryuvirus;Fiersviridae;ssRNA(+);3908;complete;Japan;activated sludge metagenome;
NC_073980;ssRNA phage SRR5467090_4;;Kirnavirus lutenecus;Kirnavirus;Fiersviridae;ssRNA(+);3901;complete;USA;activated sludge metagenome;
NC_073981;ssRNA phage ESE021;SRR1027978;Kiwsmaevirus defluviicola;Kiwsmaevirus;Fiersviridae;ssRNA(+);3547;complete;USA;activated sludge metagenome;
NC_073982;ssRNA phage SRR6960509_9;;Konkivirus lutihabitans;Konkivirus;Fiersviridae;ssRNA(+);3654;complete;USA;activated sludge metagenome;
NC_073983;ssRNA phage SRR5466727_4;;Kowinovirus pelenecus;Kowinovirus;Fiersviridae;ssRNA(+);3295;complete;USA;activated sludge metagenome;
NC_073984;ssRNA phage SRR6960799_8;;Kuhshuvirus pelovicinum;Kuhshuvirus;Fiersviridae;ssRNA(+);3647;complete;Japan;activated sludge metagenome;
NC_073985;ssRNA phage SRR5466725_19;;Lohmavirus borborovivens;Lohmavirus;Fiersviridae;ssRNA(+);3765;complete;USA;activated sludge metagenome;
NC_073986;ssRNA phage SRR6960551_5;;Loslovirus caenicola;Loslovirus;Fiersviridae;ssRNA(+);3259;complete;USA;activated sludge metagenome;
NC_073987;ssRNA phage Gephyllon.4_22;;Lulohlevirus edaphohabitans;Lulohlevirus;Fiersviridae;ssRNA(+);3708;complete;USA;;
NC_073988;ssRNA phage Esthiorhiza.2_40;;Luthavirus edaphovicinum;Luthavirus;Fiersviridae;ssRNA(+);4460;complete;USA;;
NC_073989;ssRNA phage Gerhypos.1_18;;Luthavirus edaphovivens;Luthavirus;Fiersviridae;ssRNA(+);3695;complete;USA;;
NC_073990;ssRNA phage Gerhypos.1_48;;Luthavirus pedadaptatum;Luthavirus;Fiersviridae;ssRNA(+);3694;complete;USA;;
NC_073991;ssRNA phage SRR6960509_8;;Mahqeavirus limicola;Mahqeavirus;Fiersviridae;ssRNA(+);3901;complete;USA;activated sludge metagenome;
NC_073992;ssRNA phage SRR7976325_18;;Mahqeavirus limihabitans;Mahqeavirus;Fiersviridae;ssRNA(+);3364;complete;Japan;activated sludge metagenome;
NC_073993;ssRNA phage SRR5466725_18;;Mahraivirus limivicinum;Mahraivirus;Fiersviridae;ssRNA(+);3211;complete;USA;activated sludge metagenome;
NC_073994;ssRNA phage Gerhypos.3_22;;Manohtivirus pedenecus;Manohtivirus;Fiersviridae;ssRNA(+);3996;complete;USA;;
NC_073995;ssRNA phage SRR6960551_11;;Manrohovirus lutadaptatum;Manrohovirus;Fiersviridae;ssRNA(+);3467;complete;USA;activated sludge metagenome;
NC_073996;ssRNA phage SRR5466725_12;;Martavirus lutenecus;Martavirus;Fiersviridae;ssRNA(+);4021;complete;USA;activated sludge metagenome;
NC_073997;ssRNA phage ESE019;SRR1027978;Meblowovirus defluviicola;Meblowovirus;Fiersviridae;ssRNA(+);3608;complete;USA;activated sludge metagenome;
NC_073998;ssRNA phage Esthiorhiza.1_10;;Mehraxmevirus pedohabitans;Mehraxmevirus;Fiersviridae;ssRNA(+);3914;complete;USA;;
NC_073999;ssRNA phage SRR6960507_8;;Mekintivirus lutihabitans;Mekintivirus;Fiersviridae;ssRNA(+);3647;complete;USA;activated sludge metagenome;
NC_074000;ssRNA phage SRR6255746_2;;Methovirus lutivicinum;Methovirus;Fiersviridae;ssRNA(+);4120;complete;USA;activated sludge metagenome;
NC_074001;ssRNA phage Esthiorhiza.2_30;;Mihkrovirus pedovicinum;Mihkrovirus;Fiersviridae;ssRNA(+);3803;complete;USA;;
NC_074002;ssRNA phage Esthiorhiza.2_51;;Mihkrovirus pedovivens;Mihkrovirus;Fiersviridae;ssRNA(+);3856;complete;USA;;
NC_074003;ssRNA phage SRR6255733_1;;Mihkrovirus peladaptatum;Mihkrovirus;Fiersviridae;ssRNA(+);3542;complete;USA;activated sludge metagenome;
NC_074004;ssRNA phage SRR6960802_1;;Mihkrovirus pelenecus;Mihkrovirus;Fiersviridae;ssRNA(+);3490;complete;Japan;activated sludge metagenome;
NC_074005;ssRNA phage SRR7976301_3;;Mihkrovirus pelocola;Mihkrovirus;Fiersviridae;ssRNA(+);3660;complete;USA;activated sludge metagenome;
NC_074006;ssRNA phage Gerhypos.3_19;;Mihkrovirus soladaptatum;Mihkrovirus;Fiersviridae;ssRNA(+);4067;complete;USA;;
NC_074007;ssRNA phage Zoerhiza.2_29;;Mihkrovirus solenecus;Mihkrovirus;Fiersviridae;ssRNA(+);3618;complete;USA;;
NC_074008;ssRNA phage Gerhypos.3_25;;Mihkrovirus solicola;Mihkrovirus;Fiersviridae;ssRNA(+);3875;complete;USA;;
NC_074009;ssRNA phage SRR7976301_4;;Mintuvirus asiadaptatum;Mintuvirus;Fiersviridae;ssRNA(+);3981;complete;USA;activated sludge metagenome;
NC_074010;ssRNA phage SRR7976325_10;;Mintuvirus asienecus;Mintuvirus;Fiersviridae;ssRNA(+);3801;complete;Japan;activated sludge metagenome;
NC_074011;ssRNA phage SRR5466725_9;;Mintuvirus pelovivens;Mintuvirus;Fiersviridae;ssRNA(+);3892;complete;USA;activated sludge metagenome;
NC_074012;ssRNA phage SRR7976299_10;;Monamovirus asiohabitans;Monamovirus;Fiersviridae;ssRNA(+);4073;complete;USA;activated sludge metagenome;
NC_074013;ssRNA phage SRR7976326_3;;Monamovirus asiovicinum;Monamovirus;Fiersviridae;ssRNA(+);4032;complete;Japan;activated sludge metagenome;
NC_074014;ssRNA phage SRR6960801_1;;Mucrahivirus borboradaptatum;Mucrahivirus;Fiersviridae;ssRNA(+);3731;complete;Japan;activated sludge metagenome;
NC_074015;ssRNA phage Esthiorhiza.4_19;;Mucrahivirus geocola;Mucrahivirus;Fiersviridae;ssRNA(+);3459;complete;USA;;
NC_074016;ssRNA phage Gephyllon.4_15;;Mucrahivirus geoenecus;Mucrahivirus;Fiersviridae;ssRNA(+);3251;complete;USA;;
NC_074017;ssRNA phage Gephyllon.4_4;;Mucrahivirus geohabitans;Mucrahivirus;Fiersviridae;ssRNA(+);4154;complete;USA;;
NC_074018;ssRNA phage Zoerhiza.2_10;;Mucrahivirus geovicinum;Mucrahivirus;Fiersviridae;ssRNA(+);3718;complete;USA;;
NC_074019;ssRNA phage Zoerhiza.2_30;;Mucrahivirus geovivens;Mucrahivirus;Fiersviridae;ssRNA(+);3548;complete;USA;;
NC_074020;ssRNA phage SRR6960799_20;;Muyegivirus borborenecus;Muyegivirus;Fiersviridae;ssRNA(+);3577;complete;Japan;activated sludge metagenome;
NC_074021;ssRNA phage SRR6960799_19;;Nadsecevirus borborocola;Nadsecevirus;Fiersviridae;ssRNA(+);3382;complete;Japan;activated sludge metagenome;
NC_074022;ssRNA phage SRR5467090_6;;Nahjiuvirus borborohabitans;Nahjiuvirus;Fiersviridae;ssRNA(+);3681;complete;USA;activated sludge metagenome;
NC_074023;ssRNA phage SRR6960799_26;;Nahjiuvirus borborovicinum;Nahjiuvirus;Fiersviridae;ssRNA(+);3876;complete;Japan;activated sludge metagenome;
NC_074024;ssRNA phage SRR6960802_2;;Nahrudavirus borborovivens;Nahrudavirus;Fiersviridae;ssRNA(+);3813;complete;Japan;activated sludge metagenome;
NC_074025;ssRNA phage SRR6960803_12;;Nahsuvirus caenadaptatum;Nahsuvirus;Fiersviridae;ssRNA(+);3734;complete;Japan;activated sludge metagenome;
NC_074026;ssRNA phage Gephyllon.4_23;;Nahsuvirus telluradaptatum;Nahsuvirus;Fiersviridae;ssRNA(+);3417;complete;USA;;
NC_074027;ssRNA phage Zoerhiza.4_27;;Nahsuvirus telluricola;Nahsuvirus;Fiersviridae;ssRNA(+);3496;complete;USA;;
NC_074028;ssRNA phage SRR5467139_2;;Niankuvirus caenivicinum;Niankuvirus;Fiersviridae;ssRNA(+);3784;complete;Austria;activated sludge metagenome;
NC_074029;ssRNA phage SRR7976323_2;;Nihucivirus limihabitans;Nihucivirus;Fiersviridae;ssRNA(+);3553;complete;Japan;activated sludge metagenome;
NC_074030;ssRNA phage SRR5466364_5;;Niuhvovirus limivicinum;Niuhvovirus;Fiersviridae;ssRNA(+);3832;complete;USA;activated sludge metagenome;
