Contig	T0-R-Dry-soil-A_sort TPM	T0-R-Dry-soil-B_sort TPM	T0-R-Dry-soil-C_sort TPM	T1-R-H218O-A_sort TPM	T1-R-H218O-B_sort TPM	T1-R-H218O-C_sort TPM	T1-R-H218O-P-A_sort TPM	T1-R-H218O-P-B_sort TPM	T1-R-H218O-P-C_sort TPM	T1-R-H2O-A_sort TPM	T1-R-H2O-B_sort TPM	T1-R-H2O-C_sort TPM	T1-R-H2O-P-A_sort TPM	T1-R-H2O-P-B_sort TPM	T1-R-H2O-P-C_sort TPM	T2-R-H218O-A_sort TPM	T2-R-H218O-B_sort TPM	T2-R-H218O-C_sort TPM	T2-R-H218O-P-A_sort TPM	T2-R-H218O-P-B_sort TPM	T2-R-H218O-P-C_sort TPM	T2-R-H2O-A_sort TPM	T2-R-H2O-B_sort TPM	T2-R-H2O-C_sort TPM	T2-R-H2O-P-A_sort TPM	T2-R-H2O-P-B_sort TPM	T2-R-H2O-P-C_sort TPM	T3-R-H218O-A_sort TPM	T3-R-H218O-B_sort TPM	T3-R-H218O-C_sort TPM	T3-R-H218O-P-A_sort TPM	T3-R-H218O-P-B_sort TPM	T3-R-H218O-P-C_sort TPM	T3-R-H2O-A_sort TPM	T3-R-H2O-B_sort TPM	T3-R-H2O-C_sort TPM	T3-R-H2O-P-A_sort TPM	T3-R-H2O-P-B_sort TPM	T3-R-H2O-P-C_sort TPM
T1-R-H2O-P-B_NODE_2853_length_1266_cov_2.764017	0	477.4235	236.65808	194.05573	0	251.69188	0	0	0	0	0	0	0	995.6829	0	0	284.91367	0	0	0	0	0	0	0	0	0	0	0	0	0	140.4744	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_2907_length_1260_cov_2.754415	0	0	0	0	0	0	0	0	0	0	0	0	0	1019.30066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_2952_length_1255_cov_2.771115	0	0	0	619.8961	0	0	0	0	0	0	0	0	0	947.55725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133.69792	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_2965_length_1254_cov_1.562975	0	0	0	0	0	0	0	0	0	0	0	0	0	360.35873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_3075_length_1241_cov_2.691453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_3111_length_1236_cov_24.688412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_3373_length_1207_cov_5.660211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_4033_length_1150_cov_3.867470	0	0	0	0	0	0	0	0	0	0	0	0	0	413.62918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_4379_length_1125_cov_2.289374	0	0	0	0	0	0	0	0	0	0	0	0	0	211.41046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354.41748	0	0	0	0	0
T1-R-H2O-P-B_NODE_4385_length_1124_cov_14.188034	0	0	0	0	0	0	0	0	0	0	0	0	0	359.71753	0	0	0	0	0	0	0	0	0	0	0	309.96533	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_5183_length_1073_cov_5.015968	0	0	0	0	0	0	0	0	0	0	0	0	0	443.31183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_5349_length_1063_cov_3.925403	0	0	0	0	0	0	0	0	0	0	0	0	0	1320.0724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360.2816	0	0	0	0
T1-R-H2O-P-B_NODE_5692_length_1045_cov_5.195072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_5950_length_1032_cov_14.826223	0	0	0	0	0	0	0	0	0	0	0	0	0	322.64694	0	0	0	0	0	0	0	0	0	0	48.049755	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_6118_length_1025_cov_2.423480	0	0	0	0	0	0	0	0	0	0	0	0	0	742.51483	0	0	0	0	0	0	142.53545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_6254_length_1019_cov_4.002110	0	0	0	0	0	0	0	0	0	0	0	0	0	140.04129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_6471_length_1010_cov_2.420660	0	0	0	0	0	0	271.37952	0	306.4605	349.71194	697.2558	295.6968	225.05148	612.253	402.12616	0	214.27777	0	316.86328	166.34898	0	191.6852	354.2982	127.94329	0	0	138.81213	0	0	0	150.9255	0	0	115.14188	126.39591	0	0	0	0
T1-R-H2O-P-B_NODE_7316_length_976_cov_2.404420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_7574_length_967_cov_2.504464	0	0	0	0	0	0	0	0	0	0	0	0	0	885.43176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_8094_length_951_cov_2.082955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_8112_length_950_cov_3.005688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_8154_length_948_cov_5.140251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_8387_length_941_cov_2.044828	0	0	0	0	0	0	0	0	0	425.4024	0	403.9369	111.48637	606.5974	313.8998	0	0	636.87915	0	571.34955	0	0	357.9082	0	263.4822	0	650.1414	0	0	0	0	0	0	0	406.99203	0	337.19788	260.81143	0
T1-R-H2O-P-B_NODE_8592_length_934_cov_6.791425	0	0	0	0	0	0	0	0	0	0	0	0	0	2470.04	0	0	0	0	0	0	1963.9742	0	0	0	968.9175	0	0	0	0	0	0	477.78946	0	0	182.24095	0	0	0	0
T1-R-H2O-P-B_NODE_8634_length_933_cov_3.769142	0	0	294.3643	592.4628	571.627	0	220.33224	0	0	908.57635	1578.2179	785.7009	0	790.2401	237.44368	181.45499	567.01825	0	0	270.11636	0	1245.0287	451.22147	923.34924	186.01884	0	109.28603	0	0	134.88025	149.76628	0	202.99237	676.6412	1140.227	520.19293	361.34488	227.17767	0
T1-R-H2O-P-B_NODE_9678_length_904_cov_8.590636	0	0	0	0	0	0	0	0	0	0	0	0	0	841.9001	0	0	0	0	0	0	0	0	0	0	0	85.64431	0	0	296.26505	0	0	0	0	588.08215	0	0	0	0	0
T1-R-H2O-P-B_NODE_9708_length_904_cov_1.828331	0	0	0	0	0	0	0	0	0	0	0	0	309.465	394.64066	0	499.4028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309.1411	0	0	275.66367	0	0	0	0	0
T1-R-H2O-P-B_NODE_9721_length_903_cov_11.057692	317.9648	746.5767	940.08105	0	664.4454	190.00713	265.5943	131.00523	0	0	425.38696	0	154.9037	842.8327	776.88495	0	0	306.31384	472.54605	297.69644	179.76959	245.02698	256.41656	333.90884	233.38445	128.60866	0	202.52963	296.59323	255.49557	562.69763	211.79651	256.34418	220.77501	518.36755	383.9106	241.57906	420.0343	0
T1-R-H2O-P-B_NODE_9929_length_898_cov_2.432890	0	0	0	455.9662	0	0	0	0	0	0	534.6943	0	155.76631	529.7032	452.27982	0	214.22484	0	0	0	0	369.5872	0	0	0	0	0	0	0	140.1372	0	0	0	277.50528	284.3203	0	110.4202	0	0
T1-R-H2O-P-B_NODE_10141_length_892_cov_3.526188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_10287_length_889_cov_3.007335	0	0	0	0	0	0	0	0	0	0	0	0	0	374.54608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.01307	0	0	311.96533	0	0	0
T1-R-H2O-P-B_NODE_10455_length_885_cov_1.636364	0	183.8734	0	0	0	0	116.141266	0	0	0	0	0	0	295.61646	0	0	0	1145.9945	0	0	0	0	547.0486	267.69296	0	415.5442	0	0	0	0	0	0	0	281.5817	721.24176	313.37515	0	0	0
T1-R-H2O-P-B_NODE_10472_length_884_cov_5.370234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_10581_length_882_cov_3.061652	0	0	0	0	0	0	0	0	0	0	0	0	0	566.2782	355.8289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.915344	0	0	0
T1-R-H2O-P-B_NODE_10787_length_877_cov_4.006203	0	0	0	0	456.096	0	234.40137	0	0	0	182.49922	0	0	867.81915	0	0	246.77359	315.39505	0	0	370.19855	252.29124	288.02042	0	183.76155	220.70259	174.39659	0	397.002	0	0	0	119.97458	0	291.1283	0	0	0	0
T1-R-H2O-P-B_NODE_11754_length_856_cov_4.715924	0	108.63015	962.5296	358.754	0	0	0	0	0	0	0	0	0	416.77017	0	0	0	269.27713	0	0	0	0	0	0	0	0	0	0	0	0	89.039	0	122.91789	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_11819_length_855_cov_1.945153	0	0	0	0	0	114.67089	0	0	0	0	0	0	0	305.98886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_12843_length_836_cov_1.627451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_13206_length_829_cov_4.587071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_13990_length_816_cov_3.204027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_14677_length_806_cov_2.489796	0	0	0	0	0	0	0	0	0	0	0	0	347.09207	1062.2982	0	700.155	298.34644	0	0	0	362.5281	0	443.97162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_15988_length_787_cov_2.430168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238.21689	0	0	0	0	0	108.14041	0	0	0	0
T1-R-H2O-P-B_NODE_16211_length_784_cov_4.140252	0	0	0	313.3605	0	0	764.76904	0	430.69363	991.1477	571.61395	0	312.22784	1729.171	400.30753	0	214.70303	0	578.28906	85.72063	0	0	322.18573	0	458.55627	0	308.88266	349.9061	0	0	0	0	0	466.1901	189.96997	0	316.19043	426.87296	184.60098
T1-R-H2O-P-B_NODE_17175_length_772_cov_2.764622	0	0	0	0	0	0	221.902	0	0	0	0	211.01305	294.4325	708.5812	621.75165	0	0	238.86136	0	0	0	0	218.12946	0	96.34843	651.87286	99.05812	0	0	0	98.72719	0	0	86.07936	220.48317	0	154.1305	115.602234	0
T1-R-H2O-P-B_NODE_17509_length_768_cov_3.233859	345.09903	90.80804	0	799.72186	0	446.81348	401.50385	677.7475	0	735.8522	583.5221	1025.208	865.13153	1083.892	0	367.39926	250.48671	900.3957	277.80557	350.0259	295.9177	252.08586	822.2453	616.9487	322.8341	327.63416	199.14815	1012.0544	627.71185	0	198.48265	0	0	259.58316	554.07904	270.83707	0	334.08725	1036.4579
T1-R-H2O-P-B_NODE_17540_length_768_cov_1.912482	0	0	0	0	0	0	0	0	0	0	0	0	227.66609	495.4933	0	0	0	0	0	0	0	0	0	0	129.1337	0	0	89.298965	0	0	0	0	0	0	249.33554	0	0	0	0
T1-R-H2O-P-B_NODE_17628_length_767_cov_2.179598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_18147_length_761_cov_1.695652	0	0	0	0	0	0	0	0	0	0	0	0	0	187.51912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_18367_length_758_cov_2.484716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	633.3084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876.69244	0	0	0	0	0
T1-R-H2O-P-B_NODE_18647_length_755_cov_1.777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_19686_length_743_cov_6.663690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_19740_length_743_cov_1.864583	0	0	0	0	0	0	0	0	0	0	0	0	0	160.05179	0	341.78522	0	248.18448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_20014_length_740_cov_2.070254	0	0	0	0	0	0	0	0	0	0	0	0	0	160.70058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_20789_length_732_cov_3.481089	0	0	0	167.8106	0	0	117.01389	0	0	0	0	0	0	552.3533	0	0	0	0	0	0	0	0	0	0	0	0	174.11856	0	0	0	0	348.36484	0	0	116.26583	284.15686	0	0	0
T1-R-H2O-P-B_NODE_20927_length_731_cov_2.439394	0	0	0	0	0	0	0	0	0	0	0	0	0	780.8597	0	0	0	0	0	0	288.68893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_22825_length_715_cov_1.697205	0	0	0	0	0	0	0	0	0	0	0	0	0	199.58319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.409016	0
T1-R-H2O-P-B_NODE_23130_length_712_cov_4.408736	0	0	0	718.8514	0	240.97803	0	1329.188	0	0	0	915.1795	736.7176	1235.9496	674.1466	237.77747	0	0	0	377.55618	0	2602.595	591.27747	483.9801	626.80615	380.58783	71.60375	610.04224	0	0	463.8698	0	428.55533	1609.9988	1792.9746	1509.3839	0	313.35992	0
T1-R-H2O-P-B_NODE_23256_length_711_cov_3.978125	0	0	0	345.53384	0	0	289.12784	266.21155	0	0	270.1298	0	467.2441	200.70627	0	396.85306	304.38895	0	0	0	159.82056	0	592.10895	0	0	0	0	868.12134	263.68002	0	0	0	0	210.29524	0	243.7914	0	0	0
T1-R-H2O-P-B_NODE_23699_length_708_cov_1.301413	0	0	0	0	0	0	0	0	0	0	0	0	0	503.89145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_25757_length_692_cov_2.605475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_25806_length_692_cov_1.231884	0	0	0	177.51057	0	0	0	205.14047	0	0	0	0	0	343.69476	426.84952	0	0	1199.139	0	0	0	0	243.34657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_26258_length_688_cov_4.526742	0	0	0	0	0	0	0	0	0	0	0	197.31346	0	1624.7576	0	0	0	1809.1666	0	0	0	0	0	375.64746	90.09329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_26445_length_687_cov_3.116883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_28382_length_674_cov_3.401327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_28557_length_673_cov_2.830565	328.17734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.92256	0	0	0	0	0	0	0	184.20267	0	0	0	0	0	113.25023	0	0	0	189.68774	669.6474	206.27065	0	0
T1-R-H2O-P-B_NODE_32502_length_650_cov_3.578584	0	0	0	0	0	0	0	0	0	0	0	0	0	439.0832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_33178_length_647_cov_2.001736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_33854_length_643_cov_5.374126	240.44223	0	0	191.03787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.96849	115.67811	0	0	0	0	0	0	0	0	0	0	0	61.684166	0	0
T1-R-H2O-P-B_NODE_34472_length_640_cov_2.801406	483.13852	799.1105	351.1046	0	0	0	695.93976	184.84021	0	0	0	0	0	1189.184	173.07408	440.8791	112.71902	2088.9177	0	0	0	0	263.11835	336.51746	193.70055	0	0	0	167.38991	0	158.78627	0	0	0	930.85297	0	61.973324	278.8902	0
T1-R-H2O-P-B_NODE_38572_length_621_cov_1.896364	0	0	0	0	0	0	0	0	0	0	0	0	0	421.28897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_39472_length_617_cov_1.849817	0	0	0	0	0	0	0	0	0	0	0	0	0	462.5675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280.93283	0	0	0
T1-R-H2O-P-B_NODE_40695_length_612_cov_1.857671	0	0	0	0	0	320.40396	0	0	0	0	0	0	0	233.17331	0	0	0	451.9631	0	109.81206	0	0	0	0	526.66296	0	1228.7307	0	0	274.16818	394.3709	0	0	0	0	0	874.9171	0	0
T1-R-H2O-P-B_NODE_42878_length_604_cov_1.041276	0	0	0	0	0	0	0	0	0	0	0	0	0	196.8847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-B_NODE_43380_length_602_cov_1.521657	0	0	0	0	0	0	0	0	280.45157	0	0	0	261.40012	158.03107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_2_length_8143_cov_19.674554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_9_length_4667_cov_53.501523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_10_length_4430_cov_63.509291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_11_length_4366_cov_16.664028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_12_length_4230_cov_13.581149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_14_length_4117_cov_119.607019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	964.0918	0	0	0	0	0	0	0	0	0	532.97046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_15_length_4110_cov_9.814063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_16_length_4081_cov_170.575561	0	0	0	0	0	0	0	0	0	0	0	0	1392.4404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_19_length_4044_cov_16.666499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	739.5453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_20_length_4024_cov_55.449785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_21_length_4023_cov_31.834514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_22_length_3985_cov_20.025549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_23_length_3960_cov_3.489586	0	0	0	0	0	0	0	0	0	0	0	0	158.95232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_27_length_3822_cov_19.101573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_28_length_3785_cov_10.016155	0	0	0	421.89832	686.91534	848.33	343.97446	462.5646	646.7803	155.53029	355.2008	416.04205	669.8259	433.5731	2824.0586	715.6567	870.3836	4104.567	1486.7174	1611.322	1629.753	0	200.20654	0	1673.654	4397.8413	3367.3657	0	452.85925	271.52423	1396.1437	2534.871	2471.296	763.73004	657.69244	366.36325	5771.2935	2210.492	2074.36
T1-R-H2O-P-C_NODE_30_length_3744_cov_13.258916	0	0	0	3056.7156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_40_length_3517_cov_14.360708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_41_length_3517_cov_10.144515	0	0	0	0	0	0	253.28496	0	0	334.7637	0	0	119.31599	0	2866.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_53_length_3398_cov_76.133754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_56_length_3370_cov_10.191270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_57_length_3361_cov_28.402736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_62_length_3301_cov_19.503406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_96_length_3003_cov_12.323329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1370.9142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_105_length_2931_cov_28.530769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_108_length_2916_cov_7.036204	0	0	0	0	697.29535	0	422.98346	0	0	0	504.9645	0	0	636.18896	1424.4788	532.19946	0	0	0	0	0	0	0	0	0	0	218.54382	321.42706	872.5395	481.90985	0	0	0	0	0	0	0	531.76624	0
T1-R-H2O-P-C_NODE_111_length_2874_cov_11.529433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_116_length_2858_cov_13.805526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_134_length_2781_cov_5.034317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_144_length_2708_cov_28.847933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_156_length_2671_cov_131.945769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_217_length_2411_cov_18.995726	0	0	0	0	0	264.3233	497.3695	0	0	0	0	0	0	305.8042	5268.0767	0	0	0	0	0	0	0	296.84027	0	0	0	0	0	0	0	0	0	0	0	229.44514	539.2026	0	0	0
T1-R-H2O-P-C_NODE_267_length_2277_cov_22.109248	892.3772	0	2028.536	0	0	0	0	322.11078	0	0	0	0	0	0	1370.2018	198.26962	0	404.9208	538.7741	0	0	0	0	0	163.33122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T1-R-H2O-P-C_NODE_288_length_2216_cov_8.821911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299.6176	0	390.65067	0	0	0	0	0	0	0	257.33496	0	0	474.54172	1232.7623	0	0	0	0	0	0	0	2957.7144	0	0
T1-R-H2O-P-C_NODE_305_length_2190_cov_9.265691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446.77896	0	0	0	0	0	0	0	336.40726	0	0	0	0	0	0	0	0	0	0	197.23578	0	0	0	0	0
